ID,CONST,DE ,HD+DLC,AoC,Description
0,,Moveable Map Revealer,Disabled,Disabled,
1,,Imperial Legionary,Legionary,Disabled,
2,,Imperial Legionary (Dead),Legionary (Dead),CRASH,
3,,Archer (Dead),Archer (Dead),Archer (Dead),
4,ARCHER,Archer,Archer,Archer,
5,HAND_CANNONEER,Hand Cannoneer,Hand Cannoneer,Hand Cannoneer,
6,ELITE_SKIRMISHER,Elite Skirmisher,Elite Skirmisher,Elite Skirmisher,
7,SKIRMISHER,Skirmisher,Skirmisher,Skirmisher,
8,LONGBOWMAN,Longbowman,Longbowman,Longbowman,
9,,Arrow,Arrow,Arrow,
10,ARCHERY_RANGE_C,Archery Range,Archery Range,Archery Range,castle age
11,MANGUDAI,Mangudai,Mangudai,Mangudai,
12,BARRACKS,Barracks,Barracks,Barracks,dark age
13,FISHING_SHIP,Fishing Ship,Fishing Ship,Fishing Ship,
14,ARCHERY_RANGE_I,Archery Range,Archery Range,Archery Range,imperial age
15,,Junk,Junk,Junk,
16,,Bombard Cannon (Dead),Bombard Cannon (Dead),Bombard Cannon (Dead),
17,TRADE_COG,Trade Cog,Trade Cog,Trade Cog,
18,BLACKSMITH_C,Blacksmith,Blacksmith,Blacksmith,castle age
19,BLACKSMITH_I,Blacksmith,Blacksmith,Blacksmith,imperial age
20,BARRACKS_I,Barracks,Barracks,Barracks,imperial
21,WAR_GALLEY,War Galley,War Galley,War Galley,
22,,Beta Berserk (Dead),Beta Berserk (Dead),Beta Berserk (Dead),
23,,Battering Ram (Dead),Battering Ram (Dead),Battering Ram (Dead),
24,CROSSBOWMAN,Crossbowman,Crossbowman,Crossbowman,
25,TEUTONIC_KNIGHT,Teutonic Knight,Teutonic Knight,Teutonic Knight,
26,,Crossbowman (Dead),Crossbowman (Dead),Crossbowman (Dead),
27,,Cataphract (Dead),Cataphract (Dead),Cataphract (Dead),
28,,Chu Ko Nu (Dead),Chu Ko Nu (Dead),Chu Ko Nu (Dead),
29,,Trading Cog (Dead),Trading Cog (Dead),Trading Cog (Dead),
30,MONASTERY_F,Monastery,Monastery,Monastery,feudal age
31,MONASTERY_C,Monastery,Monastery,Monastery,castle age
32,MONASTERY_I,Monastery,Monastery,Monastery,imperial age
33,,Fortress,Fortress,Castle,"75 garrison capacity, but does nothing else"
34,,Cavalry Archer (Dead),Cavalry Archer (Dead),Cavalry Archer (Dead),
35,BATTERING_RAM,Battering Ram,Battering Ram,Battering Ram,
36,BOMBARD_CANNON,Bombard Cannon,Bombard Cannon,Bombard Cannon,
37,,Camel Rider,Camel Rider,Camel Rider,
38,KNIGHT,Knight,Knight,Knight,
39,CAVALRY_ARCHER,Cavalry Archer,Cavalry Archer,Cavalry Archer,
40,CATAPHRACT,Cataphract,Cataphract,Cataphract,
41,HUSKARL,Huskarl,Huskarl,Huskarl,
42,TREBUCHET,Trebuchet,Trebuchet,Trebuchet,unpacked
43,,Deer (Dead),Deer (Dead),Deer (Dead),
44,,Mameluke (Dead),Mameluke (Dead),Mameluke (Dead),
45,DOCK,Dock,Dock,Dock,dark age
46,JANISSARY,Janissary,Janissary,Janissary,
47,DOCK_C,Dock,Dock,Dock,castle age
48,"BOAR, WILD_BOAR",Wild Boar,Wild Boar,Wild Boar,
49,SIEGE_WORKSHOP,Siege Workshop,Siege Workshop,Siege Workshop,
50,FARM,Farm,Farm,Farm,
51,DOCK_I,Dock,Dock,Dock,imperial age
52,,Royal Janissary,Royal Janissary,Disabled,
53,"FISH, FISH_PERCH",Fish (Perch),Fish (Perch),Fish (Perch),
54,,Projectile VOL,Arrow,Arrow,
55,,Fishing Ship (Dead),Fishing Ship (Dead),Fishing Ship (Dead),
56,VILLAGER_FISHER_M,Villager Male Fisherman,Villager Male Fisherman,Villager Male Fisherman,
57,VILLAGER_FISHER_F,Villager Female Fisherman,Villager Female Fisherman,Villager Female Fisherman,
58,,Villager Male Fisherman (Dead),Villager Male Fisherman (Dead),Villager Male Fisherman (Dead),
59,"FORAGE, FORAGE_BUSH",Forage Bush,Forage Bush,Forage Bush,
60,,Villager Female Fisherman (Dead),Villager Female Fisherman (Dead),Villager Female Fisherman (Dead),
61,,Dolphin,Dolphin,Trireme,Dolphin is deep fish; Trireme is eyecandy
62,,Huskarl (Dead),Huskarl (Dead),Huskarl (Dead),
63,,Fortified Gate (up.),Fortified Gate (up.),Fortified Gate (up.),
64,,Gate (up.),Gate (up.),Gate (up.),
65,DEER,Deer,Deer,Deer,
66,"GOLD, GOLD_MINE",Gold Mine,Gold Mine,Gold Mine,
67,,Fortified Gate,Fortified Gate,Fortified Gate,
68,MILL,Mill,Mill,Mill,dark age
69,SHORE_FISH,Shore Fish,Shore Fish,Shore Fish,
70,HOUSE,House,House,House,dark age
71,TOWN_CENTER_F,Town Center,Town Center,Town Center,feudal age
72,PALISADE_WALL,Palisade Wall,Palisade Wall,Palisade Wall,
73,CHU_KO_NU,Chu Ko Nu,Chu Ko Nu,Chu Ko Nu,
74,MILITIA,Militia,Militia,Militia,
75,MAN_AT_ARMS,Man-at-Arms,Man-at-Arms,Man-at-Arms,
76,,Heavy Swordsman,Heavy Swordsman,Heavy Swordsman,
77,LONG_SWORDSMAN,Long Swordsman,Long Swordsman,Long Swordsman,
78,,Gate,Gate,Gate,
79,WATCH_TOWER,Watch Tower,Watch Tower,Watch Tower,
80,,Fortified Gate,Fortified Gate,Fortified Gate,1x1 tile
81,,Gate,Gate,Gate,
82,CASTLE,Castle,Castle,Castle,
83,"VILLAGER, VILLAGER_BASE_M",Villager (Male),Villager (Male),Villager (Male),VILLAGER will spawn male or female in RMS
84,MARKET,Market,Market,Market,feudal age
85,,Fortified Gate (down.),Fortified Gate (down.),Fortified Gate (down.),
86,STABLE_C,Stable,Stable,Stable,castle age
87,ARCHERY_RANGE,Archery Range,Archery Range,Archery Range,feudal age
88,,Gate (down.),Gate (down.),Gate (down.),
89,DIRE_WOLF,Dire Wolf,Dire Wolf,Dire Wolf,
90,,Fortified Gate,Fortified Gate,Fortified Gate,
91,,Gate,Gate,Gate,
92,,Fortified Gate,Fortified Gate,Fortified Gate,1x1 tile
93,SPEARMAN,Spearman,Spearman,Spearman,
94,,Beta Berserk,Beta Berserk,Beta Berserk,no graphics in DE
95,,Gate,Gate,Gate,
96,HAWK,Hawk,Hawk,Hawk,
97,,Arrow,Arrow,Arrow,big bolt
98,,Hand Cannoneer (Dead),Hand Cannoneer (Dead),Hand Cannoneer (Dead),
99,,Heavy Swordsman (Dead),Heavy Swordsman (Dead),Heavy Swordsman (Dead),
100,,Elite Skirmisher (Dead),Elite Skirmisher (Dead),Elite Skirmisher (Dead),
101,STABLE,Stable,Stable,Stable,feudal age
102,"STONE, STONE_MINE",Stone Mine,Stone Mine,Stone Mine,
103,BLACKSMITH,Blacksmith,Blacksmith,Blacksmith,feudal age
104,MONASTERY,Monastery,Monastery,Monastery,
105,BLACKSMITH_F,Blacksmith,Blacksmith,Blacksmith,feudal age
106,,Leif Erikson,Infiltrator (Dead),Infiltrator (Dead),Hero Longboat
107,,Janissary (Dead),Janissary (Dead),Janissary (Dead),
108,,Junk (Dead),Junk (Dead),Junk (Dead),
109,TOWN_CENTER,Town Center,Town Center,Town Center,dark age
110,TRADE_WORKSHOP,Trade Workshop,Trade Workshop,Trade Workshop,castle age
111,,Knight (Dead),Knight (Dead),Knight (Dead),
112,,Flare,Flare,Flare,reveals the map when an enemy attacks you through the fog of war
113,,Camel Rider (Dead),Camel Rider (Dead),Camel Rider (Dead),
114,,Stoertebeker,Longboat (Dead),Longboat (Dead),Hero Heavy Demolition Ship
115,,Longbowman (Dead),Longbowman (Dead),Longbowman (Dead),
116,MARKET_C,Market,Market,Market,castle age
117,"WALL, STONE_WALL",Stone Wall,Stone Wall,Stone Wall,
118,VILLAGER_BUILDER_M,Villager Male Builder,Villager Male Builder,Villager Male Builder,
119,DLC_FORTIFIED_PALISADE_WALL,Fortified Palisade Wall,Fortified Palisade Wall,Disabled,constant only defined in DE
120,VILLAGER_FORAGER_M,Villager Male Forager,Villager Male Forager,Villager Male Forager,
121,,Mangonel (Dead),Mangonel (Dead),Mangonel (Dead),
122,VILLAGER_HUNTER_M,Villager Male Hunter,Villager Male Hunter,Villager Male Hunter,
123,VILLAGER_WOOD_M,Villager Male Lumberjack,Villager Male Lumberjack,Villager Male Lumberjack,
124,VILLAGER_STONE_M,Villager Male Stone Miner,Villager Male Stone Miner,Villager Male Stone Miner,
125,MONK,Monk,Monk,Monk,
126,WOLF,Grey Wolf,Wolf,Wolf,
127,,OLD_EXPLORER,OLD_EXPLORER,OLD_EXPLORER,
128,TRADE_CART,Trade Cart (Empty),Trade Cart (Empty),Trade Cart (Empty),
129,MILL_F,Mill,Mill,Mill,feudal age
130,MILL_C,Mill,Mill,Mill,castle age
131,MILL_I,Mill,Mill,Mill,imperial age
132,BARRACKS_C,Barracks,Barracks,Barracks,castle age
133,DOCK_F,Dock,Dock,Dock,feudal age
134,,Monk (Dead),Monk (Dead),Monk (Dead),
135,,Mangudai (Dead),Mangudai (Dead),Mangudai (Dead),
136,,War Elephant (Dead),War Elephant (Dead),War Elephant (Dead),
137,MARKET_I,Market,Market,Market,imperial age
138,,Spy,Spy,Outlaw (Dead),high attack; looks like man-at-arms
139,,Cavalier (Dead),Cavalier (Dead),Cavalier (Dead),
140,,Spearman (Dead),Spearman (Dead),Spearman (Dead),
141,TOWN_CENTER_C,Town Center,Town Center,Town Center,castle age
142,TOWN_CENTER_I,Town Center,Town Center,Town Center,imperial age
143,,Rubble 1 x 1,Rubble 1 x 1,Rubble 1 x 1,
144,,Rubble 2 x 2,Rubble 2 x 2,Rubble 2 x 2,
145,,Rubble 3 x 3,Rubble 3 x 3,Rubble 3 x 3,
146,,Rubble 4 x 4,Rubble 4 x 4,Rubble 4 x 4,
147,,Rubble 6 x 6,Rubble 6 x 6,Rubble 6 x 6,
148,,Rubble 8 x 8,Rubble 8 x 8,Rubble 8 x 8,
149,,Scorpion (Dead),Scorpion (Dead),Scorpion (Dead),
150,SIEGE_WORKSHOP_I,Siege Workshop,Siege Workshop,Siege Workshop,imperial age
151,,Samurai (Dead),Samurai (Dead),Samurai (Dead),
152,,Militia (Dead),Militia (Dead),Militia (Dead),
153,STABLE_I,Stable,Stable,Stable,imperial age
154,,Man-At-Arms (Dead),Man-At-Arms (Dead),Man-At-Arms (Dead),
155,FORTIFIED_WALL,Fortified Wall,Fortified Wall,Fortified Wall,
156,VILLAGER_REPAIRER_M,Villager Repairer Male,Villager Repairer Male,Villager Repairer Male,
157,,Throwing Axeman (Dead),Throwing Axeman (Dead),Throwing Axeman (Dead),
158,,Outlaw,Outlaw,Outlaw,15 HP; neutral archer that attacks players
159,,Relic Cart,Relic Cart,Relic Cart,grants one population space; converts if in enemy line of sight
160,RICHARD_THE_LIONHEARTED,Richard the Lionheart,Richard the Lionheart,Richard the Lionheart,Hero Paladin
161,THE_BLACK_PRINCE,The Black Prince,The Black Prince,The Black Prince,Hero Cavalier
162,,FLAGX,FLAGX,FLAGX,
163,FRIAR_TUCK,Friar Tuck,Friar Tuck,Friar Tuck,Hero Monk Western
164,SHERIFF_OF_NOTTINGHAM,Sheriff of Nottingham,Sheriff of Nottingham,Sheriff of Nottingham,Hero Long Swordsman
165,CHARLEMAGNE,Charlemagne,Charlemagne,Charlemagne,Hero Throwing Axeman
166,ROLAND,Roland,Roland,Roland,Hero Knight
167,BELISARIUS,Belisarius,Belisarius,Belisarius,Hero Centurion
168,THEODORIC_THE_GOTH,Theodoric the Goth,Theodoric the Goth,Theodoric the Goth,Hero Hurkarl
169,AETHELFIRTH,Aethelfrith,Aethelfrith,Aethelfrith,Hero Woad Raider
170,SIEGFRIED,Siegfried,Siegfried,Siegfried,Hero Champion
171,ERIK_THE_RED,Erik the Red,Erik the Red,Erik the Red,Hero Berserk
172,TAMERLANE,Tamerlane,Tamerlane,Tamerlane,Hero Mangudai
173,KING_ARTHUR,King Arthur,King Arthur,King Arthur,Hero Champion
174,LANCELOT,Lancelot,Lancelot,Lancelot,Hero Paladin
175,GAWAIN,Gawain,Gawain,Gawain,Hero Cavalier
176,MORDRED,Mordred,Mordred,Mordred,Hero Paladin
177,ARCHBISHOP,Archbishop,Archbishop,Archbishop,Hero Monk Western
178,,Trade Cart Empty (Dead),Trade Cart Empty (Dead),Trade Cart Empty (Dead),Imperial
179,,Trade Workshop,Trade Workshop,Trade Workshop,
180,,Long Swordsman (Dead),Long Swordsman (Dead),Long Swordsman (Dead),
181,,Teutonic Knight (Dead),Teutonic Knight (Dead),Teutonic Knight (Dead),
182,,WNDR,CRASH,TMISA,CRASH
183,,TMISB,CRASH,TMISB,CRASH
184,,Condottiero,Condottiero,TMISC,
185,,Slinger,Slinger,TMISD,
186,,Slinger (Dead),Slinger (Dead),TMISE,
187,,Projectile Slinger,Projectile Slinger,TMISF,
188,,Flamethrower,Flamethrower,TMISG,
189,,Flamethrower (Dead),Flamethrower (Dead),TMISH,
190,FIRE_TOWER,Fire Tower,Fire Tower,TMISI,
191,HOUSE_NOMADS_C,House,Rubble 2x2,TMISJ,
192,HOUSE_NOMADS_I,House,Rubble 2x2 (temporary),TMISK,
193,,Vlad Dracula,Vlad Dracula,TMISL,Hero unit (unique graphic)
194,,Trebuchet (Dead),Trebuchet (Dead),Trebuchet (Dead),
195,KITABATAKE,Kitabatake,Kitabatake,Kitabatake,Hero Samurai
196,MINAMOTO,Minamoto,Minamoto,Minamoto,Hero Samurai
197,ALEXANDER_NEVSKI,Alexander Nevski,Alexander Nevski,Alexander Nevski,Hero Cavalier
198,EL_CID,El Cid,El Cid,El Cid,Hero Champion
199,FISH_TRAP,Fish Trap,Fish Trap,Fish Trap,
200,ROBIN_HOOD,Robin Hood,Robin Hood,Robin Hood,Hero Longbowman
201,,Tree,FLR_R,FLR_R,not actually a tree; no graphics
202,RABID_WOLF,Rabid Wolf,Rabid Wolf,Rabid Wolf,
203,,Vasco da Gama,VMDL,Rabid Wolf (Dead),Hero Caravel
204,,Trade Cart (Full),Trade Cart (Full),Trade Cart (Full),
205,,Trade Cart (Full) (Dead),Trade Cart (Full) (Dead),Trade Cart (Full) (Dead),
206,,VMDL,VMDL,VMDL,Villager Male Dave Lewis; cheat unit; naked villager with super speed but no other abilities
207,,Imperial Camel Rider,Imperial Camel Rider,VMDL (Dead),
208,,TWAL,TWAL,TWAL,Town Wall; invisible in DE - use city wall (370) instead
209,UNIVERSITY,University,University,University,castle age
210,UNIVERSITY_I,University,University,University,imperial age
211,,Villager Female (Dead),Villager Female (Dead),Villager Female (Dead),
212,VILLAGER_BUILDER_F,Villager Female Builder,Villager Female Builder,Villager Female Builder,
213,,Villager Female Builder (Dead),Villager Female Builder (Dead),Villager Female Builder (Dead),
214,VILLAGER_FARMER_F,Villager Female Farmer,Villager Female Farmer,Villager Female Farmer,
215,,Villager Female Farmer (Dead),Villager Female Farmer (Dead),Villager Female Farmer (Dead),
216,VILLAGER_HUNTER_F,Villager Female Hunter,Villager Female Hunter,Villager Female Hunter,
217,,Villager Female Hunter (Dead),Villager Female Hunter (Dead),Villager Female Hunter (Dead),
218,VILLAGER_WOOD_F,Villager Female Lumberjack,Villager Female Lumberjack,Villager Female Lumberjack,
219,,Villager Female Lumberjack (Dead),Villager Female Lumberjack (Dead),Villager Female Lumberjack (Dead),
220,VILLAGER_STONE_F,Villager Female Stone Miner,Villager Female Stone Miner,Villager Female Stone Miner,
221,,Villager Female Stone Miner (Dead),Villager Female Stone Miner (Dead),Villager Female Stone Miner (Dead),
222,VILLAGER_REPAIRER_F,Villager Female Repairer,Villager Female Repairer,Villager Female Repairer,
223,ALARIC_THE_GOTH,Alaric the Goth,Villager Female Repairer (Dead),Villager Female Repairer (Dead),
224,,Villager Male (Dead),Villager Male (Dead),Villager Male (Dead),
225,,Villager Male Builder (Dead),Villager Male Builder (Dead),Villager Male Builder (Dead),
226,,Villager Male Farmer (Dead),Villager Male Farmer (Dead),Villager Male Farmer (Dead),
227,,Villager Male Hunter (Dead),Villager Male Hunter (Dead),Villager Male Hunter (Dead),
228,,Villager Male Lumberjack (Dead),Villager Male Lumberjack (Dead),Villager Male Lumberjack (Dead),
229,,Villager Male Stone Miner (Dead),Villager Male Stone Miner (Dead),Villager Male Stone Miner (Dead),
230,,King Bela IV,Villager Male Repairer (Dead),Villager Male Repairer (Dead),Hero King Western
231,,Aqueduct,Aqueduct,CRASH,can be placed like walls - but doesn't take extra anti-building damage
232,WOAD_RAIDER,Woad Raider,Woad Raider,Woad Raider,
233,,Woad Raider (Dead),Woad Raider (Dead),Woad Raider (Dead),
234,GUARD_TOWER,Guard Tower,Guard Tower,Guard Tower,
235,KEEP,Keep,Keep,Keep,
236,BOMBARD_TOWER,Bombard Tower,Bombard Tower,Bombard Tower,
237,,Wolf (Dead),Wolf (Dead),Wolf (Dead),
238,,Skirmisher (Dead),Skirmisher (Dead),Skirmisher (Dead),
239,WAR_ELEPHANT,War Elephant,War Elephant,War Elephant,
240,,TERRC,TERRC,TERRC,
241,CRACKS,Cracks,Cracks,Cracks,
242,,Projectile Stone Catapult,Projectile Stone Catapult,Projectile Stone Catapult,
243,,Doppelganger,DOPL,DOPL,
244,,Projectile Stone Catapult (Fire),Projectile Stone Catapult (Fire),Projectile Stone Catapult (Fire),
245,,Projectile Bolt,Projectile Bolt,Projectile Bolt,
246,,Projectile Bolt (Fire),Projectile Bolt (Fire),Projectile Bolt (Fire),
247,,Trail Smoke,Trail Smoke,Trail Smoke,
248,,Pile of Stone,Pile of Stone,Pile of Stone,Only 1 stone
249,,POREX,POREX,POREX,Pile of Ore; unused 5th Resource
250,LONGBOAT,Longboat,Longboat,Longboat,
251,,Amphitheatre,Amphitheatre,Disabled,
252,,Pile of Gold,Pile of Gold,Pile of Gold,Only 1 gold
253,,Pile of Wood,Pile of Wood,Pile of Wood,Only 1 wood; looks like tree stump
254,,PILE1,PILE2,PILE3,
255,,PILE2,PILE3,PILE4,
256,,PILE3,PILE4,PILE5,
257,,PILE4,PILE5,PILE6,
258,,PILE6,PILE7,PILE8,
259,VILLAGER_FARMER_M,Villager Male Farmer,Villager Male Farmer,Villager Male Farmer,
260,,Disabled,Disabled,Disabled,
261,,PILE8,PILE9,PILE10,
262,,Pile of Food,Pile of Food,Pile of Food,Forage bush with only 1 food
263,,Colosseum,Colosseum,Disabled,
264,,Cliff 1,Cliff 1,Cliff 1,
265,,Cliff 2,Cliff 2,Cliff 2,
266,,Cliff 3,Cliff 3,Cliff 3,
267,,Cliff 4,Cliff 4,Cliff 4,
268,,Cliff 5,Cliff 5,Cliff 5,
269,,Cliff 6,Cliff 6,Cliff 6,
270,,Cliff 7,Cliff 7,Cliff 7,
271,,Cliff 8,Cliff 8,Cliff 8,
272,,Cliff 9,Cliff 9,Cliff 9,
273,,-,Cliff 10,Cliff 10,
274,,Flare,Flare,Flare,
275,CARAVAN,Imperial Centurion,Centurion,CRASH,
276,WONDER,Wonder,Wonder,Wonder,
277,,Imperial Centurion (Dead),Centurion (Dead),CRASH,
278,,Fish Trap (Dead),Fish Trap (Dead),Fish Trap (Dead),
279,SCORPION,Scorpion,Scorpion,Scorpion,
280,MANGONEL,Mangonel,Mangonel,Mangonel,
281,THROWING_AXEMAN,Throwing Axeman,Throwing Axeman,Throwing Axeman,
282,MAMELUKE,Mameluke,Mameluke,Mameluke,
283,CAVALIER,Cavalier,Cavalier,Cavalier,
284,TREE_TD,Tree TD,Tree TD,Tree TD,
285,RELIC,Relic,Relic,Relic,
286,,Monk with Relic,Monk with Relic,Monk with Relic,
287,BRITISH_RELIC,British Relic,British Relic,British Relic,
288,BYZANTINE_RELIC,Byzantine Relic,Byzantine Relic,Byzantine Relic,
289,CHINESE_RELIC,Chinese Relic,Chinese Relic,Chinese Relic,
290,FRANKISH_RELIC,Frankish Relic,Frankish Relic,Frankish Relic,
291,SAMURAI,Samurai,Samurai,Samurai,
